Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,clab-clos-large-leaf12,Ethernet4,192.168.108.69/31,spine,clab-clos-large-spine2,Ethernet13,192.168.108.68/31
l3leaf,clab-clos-large-leaf12,Ethernet5,192.168.108.71/31,spine,clab-clos-large-spine3,Ethernet13,192.168.108.70/31
l3leaf,clab-clos-large-leaf13,Ethernet3,192.168.108.73/31,spine,clab-clos-large-spine1,Ethernet14,192.168.108.72/31
l3leaf,clab-clos-large-leaf13,Ethernet4,192.168.108.75/31,spine,clab-clos-large-spine2,Ethernet14,192.168.108.74/31
l3leaf,clab-clos-large-leaf13,Ethernet5,192.168.108.77/31,spine,clab-clos-large-spine3,Ethernet14,192.168.108.76/31
l3leaf,clab-clos-large-leaf14,Ethernet3,192.168.108.79/31,spine,clab-clos-large-spine1,Ethernet15,192.168.108.78/31
l3leaf,clab-clos-large-leaf14,Ethernet4,192.168.108.81/31,spine,clab-clos-large-spine2,Ethernet15,192.168.108.80/31
l3leaf,clab-clos-large-leaf14,Ethernet5,192.168.108.83/31,spine,clab-clos-large-spine3,Ethernet15,192.168.108.82/31
l3leaf,clab-clos-large-leaf15,Ethernet3,192.168.108.85/31,spine,clab-clos-large-spine1,Ethernet16,192.168.108.84/31
l3leaf,clab-clos-large-leaf15,Ethernet4,192.168.108.87/31,spine,clab-clos-large-spine2,Ethernet16,192.168.108.86/31
l3leaf,clab-clos-large-leaf15,Ethernet5,192.168.108.89/31,spine,clab-clos-large-spine3,Ethernet16,192.168.108.88/31
l3leaf,clab-clos-large-leaf16,Ethernet3,192.168.108.91/31,spine,clab-clos-large-spine1,Ethernet17,192.168.108.90/31
l3leaf,clab-clos-large-leaf16,Ethernet4,192.168.108.93/31,spine,clab-clos-large-spine2,Ethernet17,192.168.108.92/31
l3leaf,clab-clos-large-leaf16,Ethernet5,192.168.108.95/31,spine,clab-clos-large-spine3,Ethernet17,192.168.108.94/31
l3leaf,clab-clos-large-leaf17,Ethernet3,192.168.108.97/31,spine,clab-clos-large-spine1,Ethernet18,192.168.108.96/31
l3leaf,clab-clos-large-leaf17,Ethernet4,192.168.108.99/31,spine,clab-clos-large-spine2,Ethernet18,192.168.108.98/31
l3leaf,clab-clos-large-leaf17,Ethernet5,192.168.108.101/31,spine,clab-clos-large-spine3,Ethernet18,192.168.108.100/31
l3leaf,clab-clos-large-leaf18,Ethernet3,192.168.108.103/31,spine,clab-clos-large-spine1,Ethernet19,192.168.108.102/31
l3leaf,clab-clos-large-leaf18,Ethernet4,192.168.108.105/31,spine,clab-clos-large-spine2,Ethernet19,192.168.108.104/31
l3leaf,clab-clos-large-leaf18,Ethernet5,192.168.108.107/31,spine,clab-clos-large-spine3,Ethernet19,192.168.108.106/31
l3leaf,clab-clos-large-leaf19,Ethernet3,192.168.108.109/31,spine,clab-clos-large-spine1,Ethernet20,192.168.108.108/31
l3leaf,clab-clos-large-leaf19,Ethernet4,192.168.108.111/31,spine,clab-clos-large-spine2,Ethernet20,192.168.108.110/31
l3leaf,clab-clos-large-leaf19,Ethernet5,192.168.108.113/31,spine,clab-clos-large-spine3,Ethernet20,192.168.108.112/31
l3leaf,clab-clos-large-leaf20,Ethernet3,192.168.108.115/31,spine,clab-clos-large-spine1,Ethernet21,192.168.108.114/31
l3leaf,clab-clos-large-leaf20,Ethernet4,192.168.108.117/31,spine,clab-clos-large-spine2,Ethernet21,192.168.108.116/31
l3leaf,clab-clos-large-leaf20,Ethernet5,192.168.108.119/31,spine,clab-clos-large-spine3,Ethernet21,192.168.108.118/31
l3leaf,clab-clos-large-leaf21,Ethernet3,192.168.108.121/31,spine,clab-clos-large-spine1,Ethernet22,192.168.108.120/31
l3leaf,clab-clos-large-leaf21,Ethernet4,192.168.108.123/31,spine,clab-clos-large-spine2,Ethernet22,192.168.108.122/31
l3leaf,clab-clos-large-leaf21,Ethernet5,192.168.108.125/31,spine,clab-clos-large-spine3,Ethernet22,192.168.108.124/31
l3leaf,clab-clos-large-leaf22,Ethernet3,192.168.108.127/31,spine,clab-clos-large-spine1,Ethernet23,192.168.108.126/31
l3leaf,clab-clos-large-leaf22,Ethernet4,192.168.108.129/31,spine,clab-clos-large-spine2,Ethernet23,192.168.108.128/31
l3leaf,clab-clos-large-leaf22,Ethernet5,192.168.108.131/31,spine,clab-clos-large-spine3,Ethernet23,192.168.108.130/31
l3leaf,clab-clos-large-leaf23,Ethernet3,192.168.108.133/31,spine,clab-clos-large-spine1,Ethernet24,192.168.108.132/31
l3leaf,clab-clos-large-leaf23,Ethernet4,192.168.108.135/31,spine,clab-clos-large-spine2,Ethernet24,192.168.108.134/31
l3leaf,clab-clos-large-leaf23,Ethernet5,192.168.108.137/31,spine,clab-clos-large-spine3,Ethernet24,192.168.108.136/31
